date,age_format,cases
2020-03-02,0-4,0
2020-03-02,10-14,0
2020-03-02,15-19,0
2020-03-02,20-24,2
2020-03-02,25-29,0
2020-03-02,30-34,7
2020-03-02,35-39,2
2020-03-02,40-44,4
2020-03-02,45-49,8
2020-03-02,5-9,0
2020-03-02,50-54,6
2020-03-02,55-59,4
2020-03-02,60-64,2
2020-03-02,65-69,2
2020-03-02,70-74,2
2020-03-02,75-79,0
2020-03-02,80-84,0
2020-03-02,85-89,0
2020-03-02,90+,0
2020-03-03,0-4,1
2020-03-03,10-14,0
2020-03-03,15-19,1
2020-03-03,20-24,3
2020-03-03,25-29,6
2020-03-03,30-34,3
2020-03-03,35-39,2
2020-03-03,40-44,5
2020-03-03,45-49,7
2020-03-03,5-9,1
2020-03-03,50-54,1
2020-03-03,55-59,11
2020-03-03,60-64,5
2020-03-03,65-69,2
2020-03-03,70-74,2
2020-03-03,75-79,1
2020-03-03,80-84,2
2020-03-03,85-89,0
2020-03-03,90+,0
2020-03-04,0-4,0
2020-03-04,10-14,2
2020-03-04,15-19,0
2020-03-04,20-24,5
2020-03-04,25-29,5
2020-03-04,30-34,5
2020-03-04,35-39,6
2020-03-04,40-44,2
2020-03-04,45-49,4
2020-03-04,5-9,0
2020-03-04,50-54,7
2020-03-04,55-59,2
2020-03-04,60-64,3
2020-03-04,65-69,4
2020-03-04,70-74,2
2020-03-04,75-79,1
2020-03-04,80-84,1
2020-03-04,85-89,0
2020-03-04,90+,0
2020-03-05,0-4,0
2020-03-05,10-14,0
2020-03-05,15-19,2
2020-03-05,20-24,3
2020-03-05,25-29,5
2020-03-05,30-34,7
2020-03-05,35-39,7
2020-03-05,40-44,4
2020-03-05,45-49,1
2020-03-05,5-9,0
2020-03-05,50-54,8
2020-03-05,55-59,3
2020-03-05,60-64,1
2020-03-05,65-69,1
2020-03-05,70-74,2
2020-03-05,75-79,1
2020-03-05,80-84,1
2020-03-05,85-89,0
2020-03-05,90+,1
2020-03-06,0-4,1
2020-03-06,10-14,4
2020-03-06,15-19,1
2020-03-06,20-24,6
2020-03-06,25-29,11
2020-03-06,30-34,6
2020-03-06,35-39,2
2020-03-06,40-44,3
2020-03-06,45-49,6
2020-03-06,5-9,0
2020-03-06,50-54,5
2020-03-06,55-59,6
2020-03-06,60-64,9
