Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Country (Wlad),Check-ins (Cofrestriadau),Symptoms reported (Symptomau a adroddwyd),Positive test results linked to app (Canlyniadau prawf positif),Negative test results linked to app (Canlyniadau prawf negatif),Contact tracing alert (Hysbysiadau olrhain cyswllt),Positive PCR test results linked to app (Canlyniadau prawf PCR positif cysylltiedig i ap),Positive LFD test results linked to app (Canlyniadau prawf LFD positif cysylltiedig i ap),Cumulative check-ins (Cofrestriadau cronnus),Cumulative symptoms reported (Symptomau a adroddwyd cronnus),Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus),Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus),Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus),Cumulative Positive PCR test results linked to app (Canlyniadau prawf PCR positif cronnol cysylltiedig i ap),Cumulative Positive LFD test results linked to app (Canlyniadau prawf LFD positif cronnol cysylltiedig i ap)
2020-09-24,2020-09-30,England / Lloegr,9260185,113327,9654,27816,4035,9654,0,9260185,113327,9654,27816,4035,9654,0
2020-09-24,2020-09-30,Wales / Cymru,247987,6869,395,4794,140,395,0,247987,6869,395,4794,140,395,0
2020-10-01,2020-10-07,England / Lloegr,11312665,89397,20722,88949,19211,20722,0,20572850,202724,30376,116765,23246,30376,0
2020-10-01,2020-10-07,Wales / Cymru,255739,4990,744,5158,536,744,0,503726,11859,1139,9952,676,1139,0
2020-10-08,2020-10-14,England / Lloegr,13363383,85055,22664,93106,26888,22664,0,33936233,287779,53040,209871,50134,53040,0
2020-10-08,2020-10-14,Wales / Cymru,296786,4533,964,5164,815,964,0,800512,16392,2103,15116,1491,2103,0
2020-10-15,2020-10-21,England / Lloegr,14602330,94485,37407,144382,32252,37407,0,48538563,382264,90447,354253,82386,90447,0
2020-10-15,2020-10-21,Wales / Cymru,338915,4740,1662,7273,991,1662,0,1139427,21132,3765,22389,2482,3765,0
2020-10-22,2020-10-28,England / Lloegr,14226190,73946,42643,138808,33079,42643,0,62764753,456210,133090,493061,115465,133090,0
2020-10-22,2020-10-28,Wales / Cymru,134346,4297,2401,7661,1139,2401,0,1273773,25429,6166,30050,3621,6166,0
2020-10-29,2020-11-04,England / Lloegr,14087931,81653,46273,135583,122846,46273,0,76852684,537863,179363,628644,238311,179363,0
2020-10-29,2020-11-04,Wales / Cymru,53609,3451,2648,6827,2074,2648,0,1327382,28880,8814,36877,5695,8814,0
2020-11-05,2020-11-11,England / Lloegr,1606741,92444,52282,166561,127801,52282,0,78459425,630307,231645,795205,366112,231645,0
2020-11-05,2020-11-11,Wales / Cymru,120472,2766,1496,5886,1497,1496,0,1447854,31646,10310,42763,7192,10310,0
2020-11-12,2020-11-18,England / Lloegr,1462356,80968,47162,152469,85879,47162,0,79921781,711275,278807,947674,451991,278807,0
2020-11-12,2020-11-18,Wales / Cymru,228568,2958,1590,6554,2195,1590,0,1676422,34604,11900,49317,9387,11900,0
2020-11-19,2020-11-25,England / Lloegr,1324397,61580,29026,119063,44570,29026,0,81246178,772855,307833,1066737,496561,307833,0
2020-11-19,2020-11-25,Wales / Cymru,214217,3361,1779,7353,2674,1779,0,1890639,37965,13679,56670,12061,13679,0
2020-11-26,2020-12-02,England / Lloegr,1812320,55105,23316,97111,35687,23320,0,83058498,827960,331149,1163848,532248,331153,0
2020-11-26,2020-12-02,Wales / Cymru,214786,4178,2678,7516,3826,2678,0,2105425,42143,16357,64186,15887,16357,0
2020-12-03,2020-12-09,England / Lloegr,5384327,53487,25396,87273,41141,25401,0,88442825,881447,356545,1251121,573389,356554,0
2020-12-03,2020-12-09,Wales / Cymru,178009,5405,4543,8835,6290,4544,0,2283434,47548,20900,73021,22177,20901,0
2020-12-10,2020-12-16,England / Lloegr,5706434,73945,41767,117304,90664,41772,0,94149259,955392,398312,1368425,664053,398326,0
2020-12-10,2020-12-16,Wales / Cymru,166402,7419,7350,12389,9528,7350,0,2449836,54967,28250,85410,31705,28251,0
2020-12-17,2020-12-23,England / Lloegr,3371835,83273,55220,149698,199058,55236,0,97521094,1038665,453532,1518123,863111,453562,0
2020-12-17,2020-12-23,Wales / Cymru,71364,5238,4639,9420,8504,4639,0,2521200,60205,32889,94830,40209,32890,0
2020-12-24,2020-12-30,England / Lloegr,1146648,81049,71313,127450,263825,71321,0,98667742,1119714,524845,1645573,1126936,524883,0
2020-12-24,2020-12-30,Wales / Cymru,10350,4099,3597,6578,8637,3598,0,2531550,64304,36486,101408,48846,36488,0
2020-12-31,2021-01-06,England / Lloegr,572246,104709,93842,161561,205630,93847,0,99239988,1224423,618687,1807134,1332566,618730,0
2020-12-31,2021-01-06,Wales / Cymru,13391,4097,2803,6805,4519,2804,0,2544941,68401,39289,108213,53365,39292,0
2021-01-07,2021-01-13,England / Lloegr,558616,80754,72104,169180,137240,72142,0,99798604,1305177,690791,1976314,1469806,690872,0
2021-01-07,2021-01-13,Wales / Cymru,16436,3559,2197,7310,3571,2197,0,2561377,71960,41486,115523,56936,41489,0
2021-01-14,2021-01-20,England / Lloegr,516273,61490,54719,130108,103658,54722,0,100314877,1366667,745510,2106422,1573464,745594,0
2021-01-14,2021-01-20,Wales / Cymru,15685,2377,1492,5561,2521,1492,0,2577062,74337,42978,121084,59457,42981,0
2021-01-21,2021-01-27,England / Lloegr,500127,48026,37768,96126,71172,37684,286,100815004,1414693,783278,2202548,1644636,783278,286
2021-01-21,2021-01-27,Wales / Cymru,14543,2022,805,4357,1318,805,0,2591605,76359,43783,125441,60775,43786,0
2021-01-28,2021-02-03,England / Lloegr,487025,38552,27901,88498,52731,27184,1163,101302029,1453245,811179,2291046,1697367,810462,1449
2021-01-28,2021-02-03,Wales / Cymru,13911,1738,601,4029,936,597,5,2605516,78097,44384,129470,61711,44383,5
2021-02-04,2021-02-10,England / Lloegr,435611,28662,18888,76440,35213,18314,1075,101737640,1481907,830067,2367486,1732580,828776,2524
2021-02-04,2021-02-10,Wales / Cymru,13084,1346,551,3532,741,550,5,2618600,79443,44935,133002,62452,44933,10
2021-02-11,2021-02-17,England / Lloegr,421932,23511,19972,83265,33704,19083,1330,102159572,1505418,850039,2450751,1766284,847859,3854
2021-02-11,2021-02-17,Wales / Cymru,11842,1192,576,3883,852,572,20,2630442,80635,45511,136885,63304,45505,30
2021-02-18,2021-02-24,England / Lloegr,413393,19892,17705,86250,26474,16812,1309,102572965,1525310,867744,2537001,1792758,864671,5163
2021-02-18,2021-02-24,Wales / Cymru,11254,1026,491,4039,572,489,10,2641696,81661,46002,140924,63876,45994,40
2021-02-25,2021-03-03,England / Lloegr,394341,14097,10560,77268,14579,9991,1045,102967306,1539407,878304,2614269,1807337,874662,6208
2021-02-25,2021-03-03,Wales / Cymru,12051,740,323,3455,420,321,10,2653747,82401,46325,144379,64296,46315,50
2021-03-04,2021-03-10,England / Lloegr,382740,11979,8356,76577,10941,7479,1410,103350046,1551386,886660,2690846,1818278,882141,7618
2021-03-04,2021-03-10,Wales / Cymru,11416,763,297,3425,277,286,35,2665163,83164,46622,147804,64573,46601,85
2021-03-11,2021-03-17,England / Lloegr,391056,12395,8465,74473,12873,7035,1897,103741102,1563781,895125,2765319,1831151,889176,9515
2021-03-11,2021-03-17,Wales / Cymru,13196,865,343,3895,492,331,40,2678359,84029,46965,151699,65065,46932,125
2021-03-18,2021-03-24,England / Lloegr,377019,13256,8898,100861,12467,8288,1156,104118121,1577037,904023,2866180,1843618,897464,10671
