date,manual_cases,manual_contacts,manual_contacts_household,manual_contacts_non_household
2020-05-28,5935,50142,3877,1409
2020-06-04,4601,42235,3375,1357
2020-06-11,5260,26299,4142,1659
2020-06-18,4872,17903,4481,1865
2020-06-25,3458,11073,3178,1762
2020-07-02,2855,10105,3068,1601
2020-07-09,3162,13598,3658,2040
2020-07-16,3482,14973,3864,2703
2020-07-23,3750,13831,4338,3137
2020-07-30,4007,16004,4519,3261
2020-08-06,3794,12570,4054,2365
2020-08-13,6057,20019,4996,3785
2020-08-20,6424,22366,8201,5806
2020-08-27,7505,23271,8552,6881
2020-09-03,13180,52684,15113,12811
2020-09-10,17436,67048,19045,15753
2020-09-17,21894,68871,25398,18800
2020-09-24,26023,73669,33070,19133
2020-10-01,69382,139003,74518,35005
2020-10-08,79243,152898,95883,41325
2020-10-15,100775,174443,107408,49096
2020-10-22,118181,198780,132413,52688
2020-10-29,122157,190981,126107,53174
2020-11-05,135616,191320,127271,50670
2020-11-12,135365,211098,156828,39607
2020-11-19,100817,179835,145047,23296
2020-11-26,79970,169449,135924,17866
2020-12-03,85110,181515,149535,20606
2020-12-10,124283,266673,221896,36398
2020-12-17,184105,377580,322648,50582
2020-12-24,232546,455986,383306,69501
2020-12-31,341705,683368,595719,82272
2021-01-07,308445,570189,509338,57694
2021-01-14,239885,439495,390931,43725
2021-01-21,173720,336045,291601,32192
2021-01-28,130612,247622,218101,24700
2021-02-04,92930,179082,156075,17592
2021-02-11,73720,137485,120125,14530
2021-02-18,61670,120626,102432,14320
2021-02-25,39695,90075,71846,15358
2021-03-04,32623,79517,61821,17043
2021-03-11,30120,89406,61690,26069
2021-03-18,28247,85789,61219,23470
2021-03-25,23332,75153,52491,22095
2021-04-01,14930,54361,31996,22235
2021-04-08,13812,50930,28391,22192
2021-04-15,10934,41625,22215,19028
2021-04-22,9737,41355,19123,21954
2021-04-29,8741,33690,17322,15374
2021-05-06,10291,35096,21547,13060
2021-05-13,10060,34454,22705,11472
2021-05-20,12689,42323,28512,13671
2021-05-27,18468,53986,37913,15971
2021-06-03,31900,92379,60983,31234
2021-06-10,42793,115679,79285,35769
2021-06-17,59291,155206,110890,44127
2021-06-24,99595,243291,182770,58816
2021-07-01,138759,337927,254296,81884
2021-07-08,192081,428216,325898,101427
2021-07-15,252476,536510,414707,121189
2021-07-22,159845,362776,281858,80369
2021-07-29,139996,293008,219798,72066
2021-08-05,151052,307892,229250,77475
2021-08-12,158025,307233,231811,73689
2021-08-19,162664,343586,253565,88322
2021-08-26,146199,352486,245539,105179
2021-09-02,173385,429443,308358,119149
2021-09-09,135662,379197,253448,124061
2021-09-16,148781,439511,301948,136274
2021-09-23,170874,516773,361828,153603
2021-09-30,180854,543247,382577,160008
2021-10-07,206128,605398,428404,175301
2021-10-14,248024,675014,501828,172474
2021-10-21,231769,645717,457602,186981
2021-10-28,204228,543902,376369,166073
2021-11-04,176460,453297,296706,154997
2021-11-11,200188,518571,363288,153882
2021-11-18,227290,590107,427268,161032
2021-11-25,230490,555902,414098,140025
2021-12-02,252439,541615,428443,111175
2021-12-09,320746,590353,463618,125443
2021-12-16,504950,705311,582685,122202
2021-12-23,589190,777799,662329,115224
2021-12-30,766100,947199,811739,135455
2022-01-06,797468,1016788,897939,118653
2022-01-13,585695,978110,849077,129032
2022-01-20,574980,990410,863647,126755
2022-01-27,496894,846271,725676,120595
2022-02-03,353982,578738,468141,110597
2022-02-10,240211,373325,289616,83544
2022-02-17,169096,269335,203544,65667
