date,prevalence.16_24,lower.prevalence.16_24,upper.prevalence.16_24,prevalence.25_34,lower.prevalence.25_34,upper.prevalence.25_34,prevalence.35_49,lower.prevalence.35_49,upper.prevalence.35_49,prevalence.50_69,lower.prevalence.50_69,upper.prevalence.50_69,prevalence.70plus,lower.prevalence.70plus,upper.prevalence.70plus
2020-05-03,0.06,0,0.36,0.36,0.07,1.05,0.47,0.22,0.9,0.28,0.13,0.51,0.16,0.04,0.44
2020-05-17,0.41,0.13,0.96,0.59,0.27,1.1,0.33,0.17,0.59,0.22,0.12,0.39,0.19,0.06,0.47
2020-05-31,0.19,0.02,0.7,0.11,0.01,0.43,0.14,0.05,0.28,0.15,0.06,0.3,0.07,0.01,0.23
2020-06-14,0.17,0.02,0.61,0.11,0,0.64,0.04,0.01,0.16,0.09,0.03,0.21,0.07,0.01,0.22
2020-06-28,0,0,0.24,0.05,0,0.29,0.03,0,0.1,0.12,0.04,0.27,0.03,0,0.17
2020-07-12,0.03,0,0.19,0,0,0.14,0.12,0.04,0.26,0.07,0.03,0.14,0.06,0.01,0.25
2020-07-26,0.08,0.01,0.3,0.12,0.01,0.54,0.04,0,0.14,0.09,0.04,0.17,0.11,0.04,0.24
2020-08-09,0.17,0.02,0.6,0.09,0.02,0.22,0.05,0.01,0.12,0.04,0.02,0.09,0.01,0,0.05
2020-08-23,0.15,0.04,0.39,0.14,0.04,0.34,0.05,0.02,0.12,0.04,0.02,0.08,0.04,0.01,0.09
2020-09-06,0.28,0.13,0.54,0.16,0.09,0.27,0.15,0.08,0.25,0.1,0.06,0.16,0.1,0.05,0.18
2020-09-20,0.66,0.46,0.91,0.35,0.23,0.5,0.24,0.18,0.32,0.23,0.18,0.29,0.18,0.12,0.25
2020-10-04,2.51,2.17,2.89,0.84,0.68,1.03,0.65,0.55,0.75,0.52,0.45,0.59,0.29,0.23,0.36
2020-10-18,2.81,2.47,3.18,1.16,0.99,1.35,0.91,0.8,1.02,0.91,0.83,1,0.66,0.57,0.76
2020-11-01,2.37,2.04,2.74,1.63,1.42,1.87,1.22,1.09,1.36,1.2,1.1,1.31,0.79,0.68,0.91
2020-11-15,2.29,1.99,2.64,1.71,1.5,1.95,1.34,1.21,1.48,1.05,0.96,1.14,0.6,0.51,0.69
2020-11-29,1.58,1.32,1.88,1.31,1.12,1.52,1.02,0.9,1.14,0.93,0.85,1.02,0.46,0.38,0.55
2020-12-13,1.54,1.28,1.84,1.34,1.16,1.54,1.35,1.22,1.49,0.92,0.84,1.01,0.56,0.48,0.65
2020-12-27,2.76,2.36,3.22,2.5,2.21,2.82,2.23,2.04,2.43,1.7,1.57,1.84,1.07,0.93,1.22
2021-01-10,3.14,2.76,3.57,2.74,2.46,3.04,2.36,2.19,2.55,1.83,1.71,1.95,1.07,0.95,1.2
2021-01-24,2.22,1.89,2.6,2.13,1.88,2.4,2.22,2.05,2.41,1.62,1.5,1.74,0.94,0.83,1.07
