date,Users with app installed (Defnyddwyr gyda ap wedi'i osod),Users with contact tracing enabled (Defnyddwyr ag olrhain cyswllt wedi'u galluogi)
2020-09-24,5221323,5084011
2020-09-25,6864259,6199609
2020-09-26,9381154,7262356
2020-09-27,10689047,8157133
2020-09-28,10894181,8722944
2020-09-29,10741914,8920317
2020-09-30,10673014,9006961
2020-10-01,10737091,9104472
2020-10-02,11118476,9361526
2020-10-03,11182547,9430610
2020-10-04,11061579,9399550
2020-10-05,11164189,9510990
2020-10-06,11158564,9513476
2020-10-07,11224572,9572334
2020-10-08,11255785,9603525
2020-10-09,11380218,9703839
2020-10-10,11464488,9744733
2020-10-11,11763376,10016767
2020-10-12,14026835,11812904
2020-10-13,14727903,12599854
2020-10-14,15612470,13546677
2020-10-15,15833892,13811276
2020-10-16,15957929,13949139
2020-10-17,15913466,13886052
2020-10-18,15644173,13668774
2020-10-19,15596277,13646084
2020-10-20,15545185,13587594
2020-10-21,15391240,13449730
2020-10-22,15370182,13429038
2020-10-23,15406942,13442342
2020-10-24,15367789,13376796
2020-10-25,15306878,13317571
2020-10-26,15356801,13379478
2020-10-27,15355782,13365987
2020-10-28,15345563,13340503
2020-10-29,15823054,13753538
2020-10-30,16271311,14128847
2020-10-31,16195515,14062515
2020-11-01,15983552,13901247
2020-11-02,15925603,13892724
2020-11-03,15804123,13794933
2020-11-04,15673983,13692189
2020-11-05,15484964,13589284
2020-11-06,15388287,13436960
2020-11-07,15213985,13261603
2020-11-08,15140774,13174813
2020-11-09,16364399,14346522
2020-11-10,18061893,15775876
2020-11-11,17605030,11975560
2020-11-12,17191949,10435565
2020-11-13,16757407,9926169
2020-11-14,16277741,11733177
2020-11-15,15951917,12781561
2020-11-16,16085085,13151899
2020-11-17,15954077,13123097
2020-11-18,15885473,13114714
2020-11-19,15712292,13356370
2020-11-20,15600343,13499259
2020-11-21,15406225,13356486
2020-11-22,15306095,13280149
2020-11-23,15400401,13391722
2020-11-24,15363038,13368870
2020-11-25,15301176,13310209
2020-11-26,15423769,13427465
2020-11-27,15276559,13281405
2020-11-28,15117915,13105578
2020-11-29,15080673,13066986
2020-11-30,16591678,14479048
2020-12-01,19256195,16987637
2020-12-02,19623329,17322477
2020-12-03,19273534,16828101
2020-12-04,18471808,16009607
2020-12-05,17696420,15246567
2020-12-06,17075200,14622175
2020-12-07,16808631,14388584
2020-12-08,16542545,14131964
2020-12-09,16439287,14012348
2020-12-10,18335370,15780163
2020-12-11,20456743,17901115
2020-12-12,19519220,17133653
2020-12-13,18288670,16048556
2020-12-14,17622351,15494666
2020-12-15,16982060,14920866
2020-12-16,16447955,14434942
2020-12-17,15969168,13990168
2020-12-18,15111557,13160907
2020-12-19,14519630,12573065
2020-12-20,14235721,12321515
